1,S,0
0.2,S,1
0.2,S,2
0.2,S,3
0.2,S,4
2,S,4
0.2,S,3
0.2,S,2
0.2,S,1
0.2,S,0
1.5,M,0
0,M,2
0,M,4
1.2,S,7
0.2,S,7
0.2,S,7
1.2,S,5
0.2,S,5
0.2,S,5
1.2,S,8
0.1,S,6
0.1,S,8
0.1,S,6
0.1,S,8
0.1,S,6
1,M,1
0,L,2
0,M,3
1,M,0
0,M,1
0,M,2
0,M,3
0,M,4
0.5,M,8
0,M,6
0.5,S,7
0,S,5
5,S,1
0.2,S,1
0.2,S,1
0.2,S,1
0.2,S,1
4,S,3
0.2,S,3
0.2,S,3
0.2,S,3
0.2,S,3
5,L,0
0,L,4
2,M,5
0,M,6
0,M,7
0,M,8
0.3,M,2
0,S,1
0,S,3
1.5,S,0
0,S,2
0,S,4
3,L,7
0,L,5
5,S,7
0,S,5
0,S,8
0,S,6
3,M,1
0,M,3
5,M,8
0.5,M,6
0.5,M,0
0.5,M,4
0.5,M,7
0.5,M,5
1,L,2
0.5,S,0
0.1,S,1
0.1,S,0
0.1,S,1
0.1,S,0
0.1,S,1
0.5,S,4
0.1,S,3
0.1,S,4
0.1,S,3
0.1,S,4
0.1,S,3
1,L,8
0,L,6
2,M,1
0,M,3
5,S,1
0.2,S,1
0.2,S,1
0.2,S,1
0.2,S,1
4,S,3
0.2,S,3
0.2,S,3
0.2,S,3
0.2,S,3
5,B,2
